dataset_id,layer,path,format,scope,status,unit,record_count,contains_row_level_entities,release_class,description
territorial-authorities,source_registry,data/source_registry/territorial_authorities.csv,csv,national,current,territorial_authority,106,false,internal_research,National territorial-authority baseline used for White List source discovery.
verified-primary-pages,source_registry,data/source_registry/verified_primary_pages.csv,csv,national,in_progress,verified_primary_page,38,false,internal_research,Independently verified primary White List landing pages.
source-series-inventory,source_registry,data/source_registry/source_series_inventory.csv,csv,national,in_progress,source_series,72,false,internal_research,Qualified recurring White List publication series and publication models.
pilot-source-profiles,source_registry,data/source_registry/pilot_source_profiles.csv,csv,pilot_authorities,in_progress,source_profile,,false,internal_research,Observed field structures and source-model divergences for pilot Prefectures.
parser-families,parser_registry,data/source_registry/parser_families.csv,csv,national,current,parser_family,2,false,internal_research,Validated reusable physical parser families with record-contract semantic-profile field-namespace and schema-fingerprint compatibility metadata.
parser-bindings,parser_registry,data/source_registry/parser_bindings.csv,csv,national,in_progress,parser_binding,2,false,internal_research,Explicit source-series to parser-family bindings; URL changes do not require new parsers.
semantic-profiles,semantic_registry,data/source_registry/semantic_profiles.csv,csv,national,current,semantic_profile,1,false,internal_research,Reusable semantic projector profiles keyed by stable parser record contracts.
national-index-authority-aliases,source_registry,data/source_registry/national_index_authority_aliases.csv,csv,national,current,authority_alias,2,false,public_config,Explicit crosswalk for Ministry national-index URL keys that differ from project canonical authority keys; preserves source and canonical identities separately.
cosenza-historical-editions,source_registry,data/source_registry/cosenza_historical_editions.csv,csv,Cosenza,in_progress,source_edition,11,false,internal_research,Dated Cosenza White List editions identified for longitudinal recovery.
cosenza-combined-2026-06-28,capture_manifest,data/captures/cosenza/combined_2026-06-28.json,json,Cosenza_2026-06-28,captured,source_capture,1,false,internal_audit,Immutable capture manifest for the combined Cosenza White List edition dated 28 June 2026.
cosenza-combined-2026-08-03,capture_manifest,data/captures/cosenza/combined_2026-08-03.json,json,Cosenza_2026-08-03,captured,source_capture,1,false,internal_audit,Immutable capture manifest for the combined Cosenza White List edition dated 3 August 2026.
cosenza-diff-2026-06-28-2026-08-03,aggregate_diagnostic,data/captures/cosenza/diff_2026-06-28_2026-08-03.json,json,Cosenza_2026-06-28_to_2026-08-03,validated_v1_legacy,edition_comparison,1,false,internal_audit,Legacy parser-v1 aggregate diagnostic retained for reproducibility; v2 supersedes v1 for current parser QA.
cosenza-diff-v2-2026-06-28-2026-08-03,aggregate_diagnostic,data/captures/cosenza/diff_v2_2026-06-28_2026-08-03.json,json,Cosenza_2026-06-28_to_2026-08-03,validated_current,edition_comparison,1,false,internal_audit,Current parser-v2 safe aggregate comparison including corrected row counts and structured-field coverage.
cosenza-parsed-observations-2026-06-28-2026-08-03,parsed_observation_profile,data/captures/cosenza/parsed_profile_2026-06-28_2026-08-03.json,json,Cosenza_2026-06-28_to_2026-08-03,validated_v1_legacy,parsed_source_mention,2657,true,internal_db,Parser-v1 metadata profile retained as a historical QA baseline; v1 missed three real rows and produced one false positive per snapshot.
cosenza-parsed-observations-v2-2026-06-28-2026-08-03,parsed_observation_profile,data/captures/cosenza/parsed_profile_v2_2026-06-28_2026-08-03.json,json,Cosenza_2026-06-28_to_2026-08-03,validated_current,parsed_source_mention,2661,true,internal_db,Parser-v2 source-observation profile retained as the immutable parsing-stage validation record; the full ingestion pipeline now continues through semantic projection and guarded canonicalisation.
cosenza-address-review-2026-09-07,validation_gold_standard,data/validation/cosenza/address-review-2026-09-07.csv,csv,Cosenza_2026-09-07,validated_current,address_review_decision,150,true,internal_audit,Frozen manual reviewer-decision layer for the deterministic Cosenza ANNCSU address-validation sample.
cosenza-address-review-metadata-2026-09-07,validation_metadata,data/validation/cosenza/address-review-2026-09-07.metadata.json,json,Cosenza_2026-09-07,validated_current,address_review_metadata,1,false,internal_audit,Sample fingerprint original review-export hash and explicit not-found interpretation for the Cosenza address review.
cosenza-address-review-summary-2026-09-07,validation_summary,data/validation/cosenza/address-review-2026-09-07.summary.json,json,Cosenza_2026-06-28_to_2026-08-03,validated_current,address_review_summary,1,false,internal_audit,Frozen reproducible weighted quality metrics for the completed Cosenza ANNCSU substantive address review.
pistoia-address-review-2026-09-09,validation_gold_standard,data/validation/pistoia/address-review-2026-09-09.csv,csv,Pistoia_2026-09-09,validated_current,address_candidate_review_decision,5,true,internal_audit,Frozen substantive reviewer decisions for the complete five-candidate Pistoia ANNCSU population generated from the deterministic 150-row replication sample.
pistoia-address-review-metadata-2026-09-09,validation_metadata,data/validation/pistoia/address-review-2026-09-09.metadata.json,json,Pistoia_2026-09-09,validated_current,address_review_metadata,1,false,internal_audit,Source and provider hashes deterministic sample fingerprint denominator rule cross-region quality metrics and explicit no-auto-acceptance policy decision for Pistoia.
multi-prefecture-publication-pilot,publication_config,data/publication/multi_prefecture_pilot.json,json,Cosenza_Parma_Pistoia_Bologna,current,approved_public_source,20,false,public_config,Versioned source URLs hashes register identities update dates and parser bindings for the first multi-Prefecture public registry pilot.
national-coverage-monitoring,source_registry,data/monitoring/national_coverage.json,json,national,in_progress,territorial_authority,106,false,internal_research,Operational coverage stages and separate source-check recency; not a public company dataset.
