authority_key,profile_status,publication_model,population_model,formats_observed,historical_snapshot_signal,landing_url,notes
aosta,pilot_verified,regional_special_site,listed_and_applicants_via_regional_service,html;attachments,unknown,https://www.regione.vda.it/prefettura/Antimafia/white_list/informazioni_e_modulistica_i.aspx,Competent White List office is the Questura di Aosta; publication/service pages are hosted by Regione Autonoma Valle d'Aosta.
asti,pilot_verified,landing_page_with_separate_attachments,listed;applicant,html;pdf,current_attachments,https://prefettura.interno.gov.it/it/prefetture/asti/white-list-provinciali,Landing page exposes separate attachments for listed companies and applicants; 3 Aug 2026 update observed.
biella,pilot_verified,html_tables_separate_populations,listed;applicant,html,historical_site_available,https://prefettura.interno.gov.it/it/prefetture/biella/evidenza/white-list,"Applicant table exposes legal name, addresses, CF/PIVA, requested activity, application date and outcome."
cagliari,pilot_verified,periodic_pdf_lists,listed;applicant,pdf;xls-labelled-export,multiple_dated_files,https://prefettura.interno.gov.it/it/prefetture/cagliari/evidenza/white-list,"Listed files include section code, legal name, addresses, CF/PIVA, registration/expiry dates and update-in-progress; applicant files include section(s), application date and status."
cosenza,pilot_verified,dated_snapshot_pages_plus_sector_files,combined_listed_and_applicant;sector_specific,html;pdf;docx,strong_multiple_dated_pages,https://prefettura.interno.gov.it/it/prefetture/cosenza/evidenza/white-list,Publishes a combined list plus separate section files and retains many dated snapshot pages.
lodi,pilot_verified,landing_page_with_external_list_links,listed;applicant,html;linked_resources,unknown,https://prefettura.interno.gov.it/it/prefetture/lodi/evidenza/white-list,Landing page links separately to listed companies and applicants; source text still contains legacy sector wording and therefore needs schema/version detection.
parma,pilot_verified,periodic_pdf_lists,listed;applicant,pdf,dated_files_observed,https://prefettura.interno.gov.it/it/prefetture/parma/evidenza/white-list,"Listed PDF includes Section, legal name, registered office, CF/PIVA, registration and expiry dates; renewal/update validity note is explicit."
pistoia,pilot_verified,html_tables_separate_populations,listed;applicant,html,historical_site_available,https://prefettura.interno.gov.it/it/prefetture/pistoia/evidenza/white-list,"Listed table is organised by section; applicant table includes requested activity, application date and outcome."
torino,pilot_verified,rich_html_table,listed_with_procedural_annotations,html,historical_site_available,https://prefettura.interno.gov.it/it/prefetture/torino/evidenza/white-list,"Observed fields include activity/section, outcome, registration/expiry dates and annotations, including renewal-in-progress language."
milano,pilot_verified,custom_web_application_and_portal_landing,listed,html;custom_application,legacy_application_available,https://prefettura.interno.gov.it/it/prefetture/milano/evidenza/white-list,Milan historically exposes a dedicated whitelist.prefmi.it application in addition to the Ministry portal landing page.
