edition_key,authority_key,source_series_key,reference_date,edition_page_url,source_origin,edition_identity_status,attachment_model,verification_date,notes
cosenza-2024-06-24,cosenza,cosenza-combined,2024-06-24,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-24-giugno-2024,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2024-09-09,cosenza,cosenza-combined,2024-09-09,https://www1.prefettura.it/cosenza/contenuti/156698.htm,official_historical,explicit_in_page_text,combined_list,2026-09-06,Historical Prefetture portal states list updated to 9 September 2024 and page modified 10 September 2024.
cosenza-2025-07-01,cosenza,cosenza-combined,2025-07-01,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-01-luglio-2025,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2025-09-01,cosenza,cosenza-combined,2025-09-01,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-01-settembre-2025,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2026-01-19,cosenza,cosenza-combined,2026-01-19,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-19-gennaio-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Combined file and sector files observed on the official page.
cosenza-2026-02-16,cosenza,cosenza-combined,2026-02-16,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-16-febbraio-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2026-03-16,cosenza,cosenza-combined,2026-03-16,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-16-marzo-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2026-04-20,cosenza,cosenza-combined,2026-04-20,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-20-aprile-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Combined file and sector files observed on the official page.
cosenza-2026-05-25,cosenza,cosenza-combined,2026-05-25,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-25-maggio-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Official dated edition page.
cosenza-2026-06-28,cosenza,cosenza-combined,2026-06-28,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-28-giugno-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Combined file and sector files observed on the official page.
cosenza-2026-08-03,cosenza,cosenza-combined,2026-08-03,https://prefettura.interno.gov.it/it/prefetture/cosenza/white-list-elenchi-aggiornati-03-agosto-2026,official_current,explicit,combined_plus_sector_files,2026-09-06,Combined file plus ten section files observed on the official page.
